
c:/Spectral/Pacote Spectral v1.40/Pacote Spectral v1.40/SPECTRAL/Valida/chatservice_openapi_0.5.0.yaml
   1:1     error  formatacao-nome-swagger-B3                   Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
   1:1     error  valida-declaracao-Error-B3                   Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
   1:1     error  valida-get-parametros-query-Meta-B3          Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
   1:1     error  valida-get-relacionamento-classe-Meta-B3     Nome do arquivo com formatação inválida. Verificar <version>_<nome api>_<tipo api>_<idioma>_<esteira>_<sistema>
  42:22    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.responses[200].headers.apim-request-id.schema
  46:22    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.responses[200].headers.user-id.schema
  53:24    error  obrigatoriedade-httpcode400-padrao-B3        A descrição padrão do HTTPCode = 400 deve ser 'Bad Request'                                                                  paths./chat/completions.post.responses[400].description
  57:22    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.responses[400].headers.apim-request-id.schema
  61:22    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.responses[400].headers.user-id.schema
  68:23    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.responses[400].content.application/json.example.error
  92:24    error  obrigatoriedade-httpcode500-padrao-B3        A descrição padrão do HTTPCode = 500 deve ser 'Internal Server Error'                                                        paths./chat/completions.post.responses[500].description
  96:22    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.responses[500].headers.apim-request-id.schema
 103:23    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         paths./chat/completions.post.responses[500].content.application/json.example.error
 128:19    error  valida-payload-envelopado-data-B3            Todo payload deve ser envelopado pela propriedade 'data'                                                                     components.schemas.errorResponse
 136:14    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.error.properties.code
 136:14    error  obrigatoriedade-description-atributo-B3      Todo atributo deve ter a propriedade description preenchida.                                                                 components.schemas.error.properties.code
 138:17    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.error.properties.message
 138:17    error  obrigatoriedade-description-atributo-B3      Todo atributo deve ter a propriedade description preenchida.                                                                 components.schemas.error.properties.message
 153:21    error  formatacao-nome-atributo-parametro-B3        Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.  components.schemas.contentFilterResult.properties.severity.x-ms-enum
 184:22    error  formatacao-nome-atributo-parametro-B3        Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.  components.schemas.promptFilterResult.properties.prompt_index
 189:25    error  oas3-unused-component                        Potentially unused component has been detected.                                                                              components.schemas.promptFilterResults
 201:14    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.chatCompletionsRequestCommon.properties.user
 204:19    error  oas3-valid-schema-example                    "example" property type must be string                                                                                       components.schemas.chatCompletionsRequestCommon.properties.user.example
 228:15    error  obrigatoriedade-atrib-param-type-integer-B3  Propriedade 'maximum' é obrigatória para todo atributo ou parâmetro do tipo 'integer'.                                       components.schemas.message.properties.index
 231:14    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.message.properties.role
 239:17    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.message.properties.content
 242:18    error  formatacao-nome-atributo-parametro-B3        Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.  components.schemas.message.properties.end_turn
 263:12    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.chatCompletionsResponseCommon.properties.id
 263:12    error  obrigatoriedade-description-atributo-B3      Todo atributo deve ter a propriedade description preenchida.                                                                 components.schemas.chatCompletionsResponseCommon.properties.id
 265:16    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.chatCompletionsResponseCommon.properties.object
 265:16    error  obrigatoriedade-description-atributo-B3      Todo atributo deve ter a propriedade description preenchida.                                                                 components.schemas.chatCompletionsResponseCommon.properties.object
 267:17    error  obrigatoriedade-atrib-param-type-integer-B3  Propriedade 'maximum' é obrigatória para todo atributo ou parâmetro do tipo 'integer'.                                       components.schemas.chatCompletionsResponseCommon.properties.created
 267:17    error  obrigatoriedade-description-atributo-B3      Todo atributo deve ter a propriedade description preenchida.                                                                 components.schemas.chatCompletionsResponseCommon.properties.created
 269:19    error  formatacao-atrib-param-type-integer-B3       O format do type integer deve conter o valor padrao 'int16' ou 'int32' ou 'int64'                                            components.schemas.chatCompletionsResponseCommon.properties.created.format
 273:15    error  obrigatoriedade-atrib-param-type-integer-B3  Propriedade 'maximum' é obrigatória para todo atributo ou parâmetro do tipo 'integer'.                                       components.schemas.chatCompletionChoiceCommon.properties.index
 273:15    error  obrigatoriedade-description-atributo-B3      Todo atributo deve ter a propriedade description preenchida.                                                                 components.schemas.chatCompletionChoiceCommon.properties.index
 275:23    error  formatacao-nome-atributo-parametro-B3        Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.  components.schemas.chatCompletionChoiceCommon.properties.finish_reason
 275:23    error  obrigatoriedade-atrib-param-type-string-B3   Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                         components.schemas.chatCompletionChoiceCommon.properties.finish_reason
 275:23    error  obrigatoriedade-description-atributo-B3      Todo atributo deve ter a propriedade description preenchida.                                                                 components.schemas.chatCompletionChoiceCommon.properties.finish_reason

✖ 51 problems (50 errors, 1 warning, 0 infos, 0 hints)
