
c:/Users/lpacheco/OneDrive - B3 S.A. – Brasil, Bolsa, Balcao/Documentos/Atividades/SPECTRAL/Valida/1.0.0-rc1_chat-services_Externa_Ingles_snc_basico.json
   1:1     error  valida-declaracao-Error-B3                       A classe padrão 'Error' não foi declarada corretamente em relação ao idioma do arquivo - ingles
 309:23    error  oas3-valid-schema-example                        "example" property type must be string                                                                                                                                components.schemas.chatCompletionsRequestCommon.properties.user.example
 341:28    error  valida-content-request-body-B3                   Formatos de dados válidos 'application/json' ou 'application/xml' ou 'multipart/form-data' ou 'text/html' ou 'text/csv' ou 'application/zip' (somente para api-web).  components.schemas.chatCompletionsRequest.example[0].messages[0].content
 354:19    error  obrigatoriedade-atrib-param-type-integer-B3      Propriedade 'maximum' é obrigatória para todo atributo ou parâmetro do tipo 'integer'.                                                                                components.schemas.message.properties.index
 358:18    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.message.properties.role
 368:21    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.message.properties.content
 368:21    error  valida-content-request-body-B3                   Formatos de dados válidos 'application/json' ou 'application/xml' ou 'multipart/form-data' ou 'text/html' ou 'text/csv' ou 'application/zip' (somente para api-web).  components.schemas.message.properties.content
 372:22    error  formatacao-nome-atributo-parametro-B3            Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.                                           components.schemas.message.properties.end_turn
 401:16    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.chatCompletionsResponseCommon.properties.id
 401:16    error  obrigatoriedade-description-atributo-B3          Todo atributo deve ter a propriedade description preenchida.                                                                                                          components.schemas.chatCompletionsResponseCommon.properties.id
 404:20    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.chatCompletionsResponseCommon.properties.object
 404:20    error  obrigatoriedade-description-atributo-B3          Todo atributo deve ter a propriedade description preenchida.                                                                                                          components.schemas.chatCompletionsResponseCommon.properties.object
 407:21    error  obrigatoriedade-atrib-param-type-integer-B3      Propriedade 'maximum' é obrigatória para todo atributo ou parâmetro do tipo 'integer'.                                                                                components.schemas.chatCompletionsResponseCommon.properties.created
 407:21    error  obrigatoriedade-description-atributo-B3          Todo atributo deve ter a propriedade description preenchida.                                                                                                          components.schemas.chatCompletionsResponseCommon.properties.created
 409:23    error  formatacao-atrib-param-type-integer-B3           O format do type integer deve conter o valor padrao 'int16' ou 'int32' ou 'int64'                                                                                     components.schemas.chatCompletionsResponseCommon.properties.created.format
 416:19    error  obrigatoriedade-atrib-param-type-integer-B3      Propriedade 'maximum' é obrigatória para todo atributo ou parâmetro do tipo 'integer'.                                                                                components.schemas.chatCompletionChoiceCommon.properties.index
 416:19    error  obrigatoriedade-description-atributo-B3          Todo atributo deve ter a propriedade description preenchida.                                                                                                          components.schemas.chatCompletionChoiceCommon.properties.index
 419:27    error  formatacao-nome-atributo-parametro-B3            Nome parâmetro/atributo com formatação inválida. Seguir padrão Lower Camel Case, com exceção primeiro termo todo minúsculo.                                           components.schemas.chatCompletionChoiceCommon.properties.finish_reason
 419:27    error  obrigatoriedade-atrib-param-type-string-B3_oas3  Todo atributo/parâmetro do tipo 'string' tem que declarar a propriedade 'maxLength'.                                                                                  components.schemas.chatCompletionChoiceCommon.properties.finish_reason
 419:27    error  obrigatoriedade-description-atributo-B3          Todo atributo deve ter a propriedade description preenchida.                                                                                                          components.schemas.chatCompletionChoiceCommon.properties.finish_reason
 468:30    error  valida-content-request-body-B3                   Formatos de dados válidos 'application/json' ou 'application/xml' ou 'multipart/form-data' ou 'text/html' ou 'text/csv' ou 'application/zip' (somente para api-web).  components.schemas.chatCompletionsResponse.example[0].choices[0].message.content
 474:36    error  valida-content-request-body-B3                   Formatos de dados válidos 'application/json' ou 'application/xml' ou 'multipart/form-data' ou 'text/html' ou 'text/csv' ou 'application/zip' (somente para api-web).  components.schemas.chatCompletionsResponse.example[0].choices[0].message.context.messages[0].content

✖ 44 problems (43 errors, 1 warning, 0 infos, 0 hints)
